"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
1;274;274;2,77;2,77;261;261;2,64;2,64
2;246;520;2,48;5,25;258;519;2,61;5,24
3;242;762;2,44;7,70;254;773;2,57;7,81
4;245;1007;2,47;10,17;256;1029;2,59;10,39
5;243;1250;2,45;12,63;252;1281;2,55;12,94
6;237;1487;2,39;15,02;248;1529;2,51;15,44
7;241;1728;2,43;17,45;255;1784;2,58;18,02
8;243;1971;2,45;19,91;256;2040;2,59;20,61
9;242;2213;2,44;22,35;260;2300;2,63;23,23
10;235;2448;2,37;24,73;247;2547;2,49;25,73
11;239;2687;2,41;27,14;255;2802;2,58;28,30
12;235;2922;2,37;29,52;250;3052;2,53;30,83
13;238;3160;2,40;31,92;248;3300;2,51;33,33
14;236;3396;2,38;34,30;250;3550;2,53;35,86
15;240;3636;2,42;36,73;254;3804;2,57;38,42
16;241;3877;2,43;39,16;255;4059;2,58;41,00
17;245;4122;2,47;41,64;255;4314;2,58;43,58
18;246;4368;2,48;44,12;255;4569;2,58;46,15
19;243;4611;2,45;46,58;256;4825;2,59;48,74
20;243;4854;2,45;49,03;253;5078;2,56;51,29
21;243;5097;2,45;51,48;255;5333;2,58;53,87
22;241;5338;2,43;53,92;254;5587;2,57;56,43
23;246;5584;2,48;56,40;252;5839;2,55;58,98
24;244;5828;2,46;58,87;254;6093;2,57;61,55
25;245;6073;2,47;61,34;253;6346;2,56;64,10
26;244;6317;2,46;63,81;255;6601;2,58;66,68
27;242;6559;2,44;66,25;260;6861;2,63;69,30
28;242;6801;2,44;68,70;257;7118;2,60;71,90
29;241;7042;2,43;71,13;257;7375;2,60;74,49
30;274;7316;2,77;73,90;279;7654;2,82;77,31
31;243;7559;2,45;76,35;258;7912;2,61;79,92
32;244;7803;2,46;78,82;257;8169;2,60;82,52
33;242;8045;2,44;81,26;257;8426;2,60;85,11
34;242;8287;2,44;83,71;264;8690;2,67;87,78
35;292;8579;2,95;86,66;298;8988;3,01;90,79
36;242;8821;2,44;89,10;262;9250;2,65;93,43
37;236;9057;2,38;91,48;250;9500;2,53;95,96
38;239;9296;2,41;93,90;254;9754;2,57;98,53
39;238;9534;2,40;96,30;251;10005;2,54;101,06
40;234;9768;2,36;98,67;252;10257;2,55;103,61
41;240;10008;2,42;101,09;253;10510;2,56;106,16
42;240;10248;2,42;103,52;252;10762;2,55;108,71
43;240;10488;2,42;105,94;252;11014;2,55;111,25
44;238;10726;2,40;108,34;250;11264;2,53;113,78
45;239;10965;2,41;110,76;251;11515;2,54;116,31
46;238;11203;2,40;113,16;254;11769;2,57;118,88
47;242;11445;2,44;115,61;254;12023;2,57;121,44
48;237;11682;2,39;118,00;252;12275;2,55;123,99
49;140;11822;1,41;119,41;153;12428;1,55;125,54
50;238;12060;2,40;121,82;249;12677;2,52;128,05
51;241;12301;2,43;124,25;253;12930;2,56;130,61
52;219;12520;2,21;126,46;233;13163;2,35;132,96
53;228;12748;2,30;128,77;238;13401;2,40;135,36
54;242;12990;2,44;131,21;253;13654;2,56;137,92
55;238;13228;2,40;133,62;251;13905;2,54;140,45
56;237;13465;2,39;136,01;254;14159;2,57;143,02
57;241;13706;2,43;138,44;251;14410;2,54;145,56
58;240;13946;2,42;140,87;251;14661;2,54;148,09
59;241;14187;2,43;143,30;255;14916;2,58;150,67
60;239;14426;2,41;145,72;253;15169;2,56;153,22
61;238;14664;2,40;148,12;252;15421;2,55;155,77
62;239;14903;2,41;150,54;253;15674;2,56;158,32
63;237;15140;2,39;152,93;256;15930;2,59;160,91
64;240;15380;2,42;155,35;256;16186;2,59;163,49
65;238;15618;2,40;157,76;255;16441;2,58;166,07
66;237;15855;2,39;160,15;258;16699;2,61;168,68
67;238;16093;2,40;162,56;257;16956;2,60;171,27
68;239;16332;2,41;164,97;260;17216;2,63;173,90
69;237;16569;2,39;167,36;259;17475;2,62;176,52
70;253;16822;2,56;169,92;260;17735;2,63;179,14
71;238;17060;2,40;172,32;256;17991;2,59;181,73
72;240;17300;2,42;174,75;257;18248;2,60;184,32
73;238;17538;2,40;177,15;255;18503;2,58;186,90
74;235;17773;2,37;179,53;257;18760;2,60;189,49
75;239;18012;2,41;181,94;256;19016;2,59;192,08
76;240;18252;2,42;184,36;258;19274;2,61;194,69
77;239;18491;2,41;186,78;263;19537;2,66;197,34
78;243;18734;2,45;189,23;690;20227;6,97;204,31
79;239;18973;2,41;191,65;262;20489;2,65;206,96
80;240;19213;2,42;194,07;250;20739;2,53;209,48
81;240;19453;2,42;196,49;253;20992;2,56;212,04
82;233;19686;2,35;198,85;250;21242;2,53;214,57
83;238;19924;2,40;201,25;253;21495;2,56;217,12
84;239;20163;2,41;203,67;252;21747;2,55;219,67
85;241;20404;2,43;206,10;250;21997;2,53;222,19
86;242;20646;2,44;208,55;252;22249;2,55;224,74
87;238;20884;2,40;210,95;251;22500;2,54;227,27
88;240;21124;2,42;213,37;252;22752;2,55;229,82
89;240;21364;2,42;215,80;251;23003;2,54;232,35
90;240;21604;2,42;218,22;249;23252;2,52;234,87
91;238;21842;2,40;220,63;253;23505;2,56;237,42
92;239;22081;2,41;223,04;249;23754;2,52;239,94
93;239;22320;2,41;225,45;252;24006;2,55;242,48
94;239;22559;2,41;227,87;254;24260;2,57;245,05
95;238;22797;2,40;230,27;253;24513;2,56;247,61
96;241;23038;2,43;232,71;252;24765;2,55;250,15
97;242;23280;2,44;235,15;251;25016;2,54;252,69
98;242;23522;2,44;237,60;250;25266;2,53;255,21
99;246;23768;2,48;240,08;251;25517;2,54;257,75
100;269;24037;2,72;242,80;253;25770;2,56;260,30
101;240;24277;2,42;245,22;253;26023;2,56;262,86
102;238;24515;2,40;247,63;251;26274;2,54;265,39
103;249;24764;2,52;250,14;251;26525;2,54;267,93
104;240;25004;2,42;252,57;249;26774;2,52;270,44
105;238;25242;2,40;254,97;251;27025;2,54;272,98
106;237;25479;2,39;257,36;253;27278;2,56;275,54
107;239;25718;2,41;259,78;258;27536;2,61;278,14
108;239;25957;2,41;262,19;256;27792;2,59;280,73
109;241;26198;2,43;264,63;258;28050;2,61;283,33
110;237;26435;2,39;267,02;256;28306;2,59;285,92
111;241;26676;2,43;269,45;254;28560;2,57;288,48
112;238;26914;2,40;271,86;258;28818;2,61;291,09
113;239;27153;2,41;274,27;257;29075;2,60;293,69
114;238;27391;2,40;276,68;256;29331;2,59;296,27
115;239;27630;2,41;279,09;256;29587;2,59;298,86
116;240;27870;2,42;281,52;259;29846;2,62;301,47
117;238;28108;2,40;283,92;268;30114;2,71;304,18
118;238;28346;2,40;286,32;265;30379;2,68;306,86
119;237;28583;2,39;288,72;302;30681;3,05;309,91
120;240;28823;2,42;291,14;255;30936;2,58;312,48
121;239;29062;2,41;293,56;249;31185;2,52;315,00
122;238;29300;2,40;295,96;250;31435;2,53;317,53
123;237;29537;2,39;298,35;252;31687;2,55;320,07
124;241;29778;2,43;300,79;246;31933;2,48;322,56
125;238;30016;2,40;303,19;252;32185;2,55;325,10
126;238;30254;2,40;305,60;250;32435;2,53;327,63
127;239;30493;2,41;308,01;249;32684;2,52;330,14
128;238;30731;2,40;310,41;249;32933;2,52;332,66
129;237;30968;2,39;312,81;248;33181;2,51;335,16
130;241;31209;2,43;315,24;249;33430;2,52;337,68
131;239;31448;2,41;317,66;248;33678;2,51;340,18
132;237;31685;2,39;320,05;249;33927;2,52;342,70
133;237;31922;2,39;322,44;249;34176;2,52;345,21
134;239;32161;2,41;324,86;249;34425;2,52;347,73
135;240;32401;2,42;327,28;251;34676;2,54;350,26
136;238;32639;2,40;329,69;251;34927;2,54;352,80
137;241;32880;2,43;332,12;248;35175;2,51;355,30
138;242;33122;2,44;334,57;252;35427;2,55;357,85
139;239;33361;2,41;336,98;250;35677;2,53;360,37
140;239;33600;2,41;339,39;251;35928;2,54;362,91
141;240;33840;2,42;341,82;251;36179;2,54;365,44
142;240;34080;2,42;344,24;250;36429;2,53;367,97
143;240;34320;2,42;346,67;248;36677;2,51;370,47
144;241;34561;2,43;349,10;250;36927;2,53;373,00
145;238;34799;2,40;351,51;251;37178;2,54;375,54
146;239;35038;2,41;353,92;251;37429;2,54;378,07
147;240;35278;2,42;356,34;253;37682;2,56;380,63
148;240;35518;2,42;358,77;256;37938;2,59;383,21
149;237;35755;2,39;361,16;253;38191;2,56;385,77
150;240;35995;2,42;363,59;254;38445;2,57;388,33
151;242;36237;2,44;366,03;256;38701;2,59;390,92
152;241;36478;2,43;368,46;255;38956;2,58;393,49
153;249;36727;2,52;370,98;255;39211;2,58;396,07
154;241;36968;2,43;373,41;256;39467;2,59;398,66
155;243;37211;2,45;375,87;256;39723;2,59;401,24
156;239;37450;2,41;378,28;256;39979;2,59;403,83
157;241;37691;2,43;380,72;256;40235;2,59;406,41
158;241;37932;2,43;383,15;262;40497;2,65;409,06
159;245;38177;2,47;385,63;296;40793;2,99;412,05
160;242;38419;2,44;388,07;258;41051;2,61;414,66
161;243;38662;2,45;390,53;253;41304;2,56;417,21
162;240;38902;2,42;392,95;252;41556;2,55;419,76
163;244;39146;2,46;395,41;261;41817;2,64;422,39
164;247;39393;2,49;397,91;254;42071;2,57;424,96
165;253;39646;2,56;400,46;251;42322;2,54;427,49
166;269;39915;2,72;403,18;247;42569;2,49;429,99
167;243;40158;2,45;405,64;251;42820;2,54;432,53
168;240;40398;2,42;408,06;258;43078;2,61;435,13
169;235;40633;2,37;410,43;249;43327;2,52;437,65
170;240;40873;2,42;412,86;247;43574;2,49;440,14
171;241;41114;2,43;415,29;250;43824;2,53;442,67
172;246;41360;2,48;417,78;252;44076;2,55;445,21
173;239;41599;2,41;420,19;248;44324;2,51;447,72
174;240;41839;2,42;422,62;248;44572;2,51;450,22
175;239;42078;2,41;425,03;250;44822;2,53;452,75
176;242;42320;2,44;427,47;248;45070;2,51;455,25
177;241;42561;2,43;429,91;248;45318;2,51;457,76
178;239;42800;2,41;432,32;251;45569;2,54;460,29
179;240;43040;2,42;434,75;248;45817;2,51;462,80
180;237;43277;2,39;437,14;246;46063;2,48;465,28
181;240;43517;2,42;439,57;251;46314;2,54;467,82
182;242;43759;2,44;442,01;251;46565;2,54;470,35
183;241;44000;2,43;444,44;258;46823;2,61;472,96
184;241;44241;2,43;446,88;250;47073;2,53;475,48
185;237;44478;2,39;449,27;245;47318;2,47;477,96
186;240;44718;2,42;451,70;252;47570;2,55;480,51
187;239;44957;2,41;454,11;252;47822;2,55;483,05
188;239;45196;2,41;456,53;253;48075;2,56;485,61
189;239;45435;2,41;458,94;254;48329;2,57;488,17
190;238;45673;2,40;461,34;252;48581;2,55;490,72
191;238;45911;2,40;463,75;255;48836;2,58;493,29
192;240;46151;2,42;466,17;252;49088;2,55;495,84
193;237;46388;2,39;468,57;254;49342;2,57;498,40
194;240;46628;2,42;470,99;252;49594;2,55;500,95
195;237;46865;2,39;473,38;253;49847;2,56;503,51
196;239;47104;2,41;475,80;254;50101;2,57;506,07
197;236;47340;2,38;478,18;255;50356;2,58;508,65
198;243;47583;2,45;480,64;256;50612;2,59;511,23
199;240;47823;2,42;483,06;258;50870;2,61;513,84
200;243;48066;2,45;485,52;298;51168;3,01;516,85
201;242;48308;2,44;487,96;259;51427;2,62;519,46
202;239;48547;2,41;490,37;254;51681;2,57;522,03
203;241;48788;2,43;492,81;254;51935;2,57;524,60
204;239;49027;2,41;495,22;253;52188;2,56;527,15
205;241;49268;2,43;497,66;254;52442;2,57;529,72
206;240;49508;2,42;500,08;252;52694;2,55;532,26
207;249;49757;2,52;502,60;248;52942;2,51;534,77
208;235;49992;2,37;504,97;254;53196;2,57;537,33
209;239;50231;2,41;507,38;253;53449;2,56;539,89
210;237;50468;2,39;509,78;249;53698;2,52;542,40
211;238;50706;2,40;512,18;250;53948;2,53;544,93
212;242;50948;2,44;514,63;248;54196;2,51;547,43
213;242;51190;2,44;517,07;251;54447;2,54;549,97
214;239;51429;2,41;519,48;249;54696;2,52;552,48
215;242;51671;2,44;521,93;255;54951;2,58;555,06
216;244;51915;2,46;524,39;252;55203;2,55;557,61
217;243;52158;2,45;526,85;254;55457;2,57;560,17
218;242;52400;2,44;529,29;253;55710;2,56;562,73
219;244;52644;2,46;531,76;250;55960;2,53;565,25
220;242;52886;2,44;534,20;250;56210;2,53;567,78
221;243;53129;2,45;536,66;251;56461;2,54;570,31
222;241;53370;2,43;539,09;253;56714;2,56;572,87
223;243;53613;2,45;541,55;251;56965;2,54;575,40
224;472;54085;4,77;546,31;480;57445;4,85;580,25
225;240;54325;2,42;548,74;254;57699;2,57;582,82
226;242;54567;2,44;551,18;257;57956;2,60;585,41
227;245;54812;2,47;553,66;255;58211;2,58;587,99
228;246;55058;2,48;556,14;258;58469;2,61;590,60
229;243;55301;2,45;558,60;258;58727;2,61;593,20
230;249;55550;2,52;561,11;256;58983;2,59;595,79
231;269;55819;2,72;563,83;260;59243;2,63;598,41
232;238;56057;2,40;566,23;256;59499;2,59;601,00
233;237;56294;2,39;568,63;255;59754;2,58;603,58
234;239;56533;2,41;571,04;261;60015;2,64;606,21
235;241;56774;2,43;573,47;261;60276;2,64;608,85
236;236;57010;2,38;575,86;258;60534;2,61;611,45
237;239;57249;2,41;578,27;260;60794;2,63;614,08
238;242;57491;2,44;580,72;260;61054;2,63;616,71
239;239;57730;2,41;583,13;262;61316;2,65;619,35
240;240;57970;2,42;585,56;304;61620;3,07;622,42
241;241;58211;2,43;587,99;259;61879;2,62;625,04
242;239;58450;2,41;590,40;251;62130;2,54;627,58
243;240;58690;2,42;592,83;250;62380;2,53;630,10
244;239;58929;2,41;595,24;252;62632;2,55;632,65
245;244;59173;2,46;597,71;252;62884;2,55;635,19
246;470;59643;4,75;602,45;477;63361;4,82;640,01
247;242;59885;2,44;604,90;250;63611;2,53;642,54
248;167;60052;1,69;606,59;173;63784;1,75;644,28
249;238;60290;2,40;608,99;251;64035;2,54;646,82
250;223;60513;2,25;611,24;235;64270;2,37;649,19
251;240;60753;2,42;613,67;250;64520;2,53;651,72
252;241;60994;2,43;616,10;249;64769;2,52;654,23
253;241;61235;2,43;618,54;250;65019;2,53;656,76
254;239;61474;2,41;620,95;248;65267;2,51;659,26
255;239;61713;2,41;623,36;249;65516;2,52;661,78
256;236;61949;2,38;625,75;252;65768;2,55;664,32
257;252;62201;2,55;628,29;248;66016;2,51;666,83
258;241;62442;2,43;630,73;255;66271;2,58;669,40
259;239;62681;2,41;633,14;249;66520;2,52;671,92
260;238;62919;2,40;635,55;248;66768;2,51;674,42
261;236;63155;2,38;637,93;250;67018;2,53;676,95
262;238;63393;2,40;640,33;253;67271;2,56;679,51
263;242;63635;2,44;642,78;251;67522;2,54;682,04
264;242;63877;2,44;645,22;250;67772;2,53;684,57
265;240;64117;2,42;647,65;252;68024;2,55;687,11
266;239;64356;2,41;650,06;250;68274;2,53;689,64
267;241;64597;2,43;652,49;256;68530;2,59;692,22
268;239;64836;2,41;654,91;255;68785;2,58;694,80
269;240;65076;2,42;657,33;256;69041;2,59;697,38
270;242;65318;2,44;659,78;254;69295;2,57;699,95
271;240;65558;2,42;662,20;255;69550;2,58;702,53
272;242;65800;2,44;664,65;258;69808;2,61;705,13
273;244;66044;2,46;667,11;257;70065;2,60;707,73
274;242;66286;2,44;669,56;258;70323;2,61;710,33
275;242;66528;2,44;672,00;258;70581;2,61;712,94
276;239;66767;2,41;674,41;259;70840;2,62;715,56
277;240;67007;2,42;676,84;256;71096;2,59;718,14
278;240;67247;2,42;679,26;259;71355;2,62;720,76
279;243;67490;2,45;681,72;259;71614;2,62;723,37
280;242;67732;2,44;684,16;257;71871;2,60;725,97
281;244;67976;2,46;686,63;298;72169;3,01;728,98
282;242;68218;2,44;689,07;258;72427;2,61;731,59
283;243;68461;2,45;691,53;254;72681;2,57;734,15
284;242;68703;2,44;693,97;252;72933;2,55;736,70
285;244;68947;2,46;696,43;253;73186;2,56;739,25
286;244;69191;2,46;698,90;251;73437;2,54;741,79
287;239;69430;2,41;701,31;253;73690;2,56;744,34
288;244;69674;2,46;703,78;251;73941;2,54;746,88
289;242;69916;2,44;706,22;252;74193;2,55;749,42
290;244;70160;2,46;708,69;251;74444;2,54;751,96
291;240;70400;2,42;711,11;249;74693;2,52;754,47
292;243;70643;2,45;713,57;249;74942;2,52;756,99
293;247;70890;2,49;716,06;254;75196;2,57;759,56
294;248;71138;2,51;718,57;249;75445;2,52;762,07
295;250;71388;2,53;721,09;250;75695;2,53;764,60
296;269;71657;2,72;723,81;256;75951;2,59;767,18
297;245;71902;2,47;726,28;252;76203;2,55;769,73
298;243;72145;2,45;728,74;253;76456;2,56;772,28
299;117;72262;1,18;729,92;133;76589;1,34;773,63
300;118;72380;1,19;731,11;134;76723;1,35;774,98
301;244;72624;2,46;733,58;250;76973;2,53;777,51
302;239;72863;2,41;735,99;250;77223;2,53;780,03
303;239;73102;2,41;738,40;251;77474;2,54;782,57
304;240;73342;2,42;740,83;250;77724;2,53;785,09
305;237;73579;2,39;743,22;251;77975;2,54;787,63
306;242;73821;2,44;745,67;249;78224;2,52;790,14
307;240;74061;2,42;748,09;251;78475;2,54;792,68
308;239;74300;2,41;750,51;254;78729;2,57;795,24
309;240;74540;2,42;752,93;254;78983;2,57;797,81
310;242;74782;2,44;755,37;257;79240;2,60;800,40
311;239;75021;2,41;757,79;259;79499;2,62;803,02
312;241;75262;2,43;760,22;258;79757;2,61;805,63
313;240;75502;2,42;762,65;257;80014;2,60;808,22
314;242;75744;2,44;765,09;255;80269;2,58;810,80
315;239;75983;2,41;767,51;253;80522;2,56;813,35
316;239;76222;2,41;769,92;256;80778;2,59;815,94
317;239;76461;2,41;772,33;260;81038;2,63;818,57
318;238;76699;2,40;774,74;262;81300;2,65;821,21
319;240;76939;2,42;777,16;265;81565;2,68;823,89
320;240;77179;2,42;779,59;262;81827;2,65;826,54
321;239;77418;2,41;782,00;311;82138;3,14;829,68
322;241;77659;2,43;784,43;243;82381;2,45;832,13
